AAPL,MSFT,TSLA,ZM,date
205.2,138.94,253.48,99.76,2019-07-15
204.49,137.08,252.4,97.04,2019-07-16
203.28,136.22,254.83,99.7,2019-07-17
205.66,136.28,253.59,95.1,2019-07-18
202.57,136.62,258.0789,93.3125,2019-07-19
207.22,138.43,255.65,96.8159,2019-07-22
208.825,139.29,260.1,97.39,2019-07-23
208.67,140.72,265.0288,95.93,2019-07-24
207.05,140.19,228.8102,97.33,2019-07-25
207.75,141.34,228.0,102.08,2019-07-26
209.67,141.04,235.792,96.41,2019-07-29
208.884,140.37,242.26,95.45,2019-07-30
212.78,136.21,241.62,95.505,2019-07-31
208.4595,138.06,233.94,95.32,2019-08-01
204.09,136.9,234.2784,93.6599,2019-08-02
193.22,132.2,228.48,89.67,2019-08-05
196.98,134.66,230.63,90.34,2019-08-06
199.14,135.28,233.47,92.28,2019-08-07
203.45,138.91,238.29,95.66,2019-08-08
200.93,137.69,235.0,94.2,2019-08-09
200.5,135.81,229.02,92.26,2019-08-12
208.98,138.6,234.97,95.31,2019-08-13
202.75,133.98,219.59,92.65,2019-08-14
201.74,133.691,215.52,90.62,2019-08-15
206.44,136.13,219.92,92.53,2019-08-16
210.34,138.41,226.81,93.17,2019-08-19
210.35,137.24,225.65,91.35,2019-08-20
212.65,138.78,220.79,92.98,2019-08-21
212.45,137.77,222.05,93.87,2019-08-22
202.63,133.4,211.39,91.4501,2019-08-23
206.6,135.54,214.98,91.79,2019-08-26
204.14,135.75,214.16,91.71,2019-08-27
205.52,135.55,215.59,90.02,2019-08-28
209.1,138.16,221.7,90.83,2019-08-29
208.74,137.92,225.6,91.79,2019-08-30
205.695,136.12,225.11,92.46,2019-09-03
209.25,137.69,220.71,93.53,2019-09-04
213.27,140.05,229.48,92.51,2019-09-05
213.27,139.13,227.49,85.37,2019-09-06
214.15,137.58,231.78,78.68,2019-09-09
216.77,136.15,235.54,80.35,2019-09-10
223.587,136.15,247.23,80.87,2019-09-11
223.09,137.5414,245.86,81.34,2019-09-12
218.8,137.21,245.27,78.9,2019-09-13
219.9,136.4,242.7,80.59,2019-09-16
220.65,137.39,244.79,84.66,2019-09-17
222.77,138.53,243.43,84.45,2019-09-18
220.95,141.08,246.58,84.6,2019-09-19
217.69,139.28,240.59,82.63,2019-09-20
218.68,139.09,241.25,82.39,2019-09-23
217.68,137.38,223.2817,79.92,2019-09-24
220.99,139.36,228.7,79.95,2019-09-25
219.89,139.57,242.52,79.7,2019-09-26
218.85,137.75,242.13,76.05,2019-09-27
223.98,139.03,240.84,76.04,2019-09-30
224.58,137.06,244.69,75.8,2019-10-01
218.96,134.63,243.24,73.85,2019-10-02
220.81,136.3,232.92,76.65,2019-10-03
227.01,138.11,231.4159,76.42,2019-10-04
227.06,137.1,237.72,76.99,2019-10-07
224.39,135.66,240.0,73.6,2019-10-08
227.0,138.21,244.53,72.87,2019-10-09
230.09,139.1,244.74,71.24,2019-10-10
236.22,139.61,247.77,71.35,2019-10-11
235.89,139.54,256.92,70.8,2019-10-14
235.32,141.57,257.86,71.25,2019-10-15
234.39,140.48,259.6902,67.715,2019-10-16
235.29,139.67,261.98,67.03,2019-10-17
236.28,137.34,256.9899,66.105,2019-10-18
240.53,138.43,253.43,65.77,2019-10-21
239.97,136.39,255.52,62.0,2019-10-22
243.14,137.25,254.889,62.143,2019-10-23
243.6,139.95,299.62,64.54,2019-10-24
246.58,140.73,328.19,63.45,2019-10-25
249.04,144.2,327.51,66.59,2019-10-28
243.29,142.81,316.2,65.5,2019-10-29
243.29,144.56,314.86,69.9744,2019-10-30
248.84,143.39,315.09,69.94,2019-10-31
255.84,143.72,313.21,70.335,2019-11-01
257.48,144.52,317.425,70.1,2019-11-04
257.15,144.46,317.16,66.88,2019-11-05
257.24,144.06,326.7,66.83,2019-11-06
259.5,144.28,335.39,66.81,2019-11-07
260.14,145.96,337.12,69.84,2019-11-08
262.2,146.12,345.1,68.38,2019-11-11
261.98,147.08,349.95,68.0,2019-11-12
264.47,147.34,345.99,67.96,2019-11-13
262.69,148.06,349.36,67.74,2019-11-14
